"","(Intercept)","age","brlen.median","brlen.ratio","brlen.var","frac","lambda","max.brlen","max.internal","max.tip","min.brlen","min.internal","min.tip","mu","Ntip","df","logLik","AICc","delta","weight"
"1921",7.17716704317996,NA,NA,NA,NA,NA,NA,NA,0.00123654097852138,0.00077309154085766,-0.724739228441016,0.170384204642918,NA,NA,NA,6,-39855.2318400792,79722.4678816289,7311.41932607617,0
"1602",7.21194155737567,0.000302432958156894,NA,NA,NA,NA,NA,0.000824947491506007,NA,NA,-0.716580639621477,0.170779867593463,NA,NA,NA,6,-39864.0258442845,79740.0558900395,7329.00733448677,0
"1669",7.22317616625821,NA,NA,3.1726200395939e-07,NA,NA,NA,NA,0.00152238067848939,NA,-0.711631834835258,0.173105779166934,NA,NA,NA,6,-39867.297069006,79746.5983394824,7335.54978392973,0
"1425",5.84267722683868,NA,NA,NA,NA,2.25717736548658,NA,NA,0.00105438070289921,0.000973633765926355,NA,-0.130023196352079,NA,NA,NA,6,-39876.694992269,79765.3941860085,7354.34563045583,0
"1667",7.27979561142979,NA,-0.00475260424087879,NA,NA,NA,NA,NA,0.00166263442612424,NA,-0.69004851381225,0.177028892523145,NA,NA,NA,6,-39879.9089802619,79771.8221619943,7360.77360644159,0
"1794",7.19321346230671,0.000468044102012426,NA,NA,NA,NA,NA,NA,NA,0.000834756155314365,-0.721796096591473,0.169317595241019,NA,NA,NA,6,-39889.3381323877,79790.6804662459,7379.63191069316,0
"1697",7.07082847976248,NA,NA,NA,NA,NA,2.38272411021749,NA,0.00158718885287638,NA,-0.702932249667895,0.174523038654607,NA,NA,NA,6,-39890.5712413564,79793.1466841833,7382.09812863058,0
"1605",7.21071314309584,NA,NA,3.2113562402079e-07,NA,NA,NA,0.00144629067184355,NA,NA,-0.719776043966793,0.173020693682373,NA,NA,NA,6,-39891.3307710376,79794.6657435457,7383.61718799305,0
"1603",7.27866404280339,NA,-0.00601949019069026,NA,NA,NA,NA,0.00162397525197058,NA,NA,-0.693384314256501,0.17785686696444,NA,NA,NA,6,-39893.7931527724,79799.5905070153,7388.5419514626,0
"1546",7.21908289165915,0.000730614062847273,NA,NA,-6.36854682794501e-06,NA,NA,NA,NA,NA,-0.705043350769213,0.170896409103054,NA,NA,NA,6,-39895.4194732457,79802.8431479618,7391.79459240912,0
"1665",7.22430550782653,NA,NA,NA,NA,NA,NA,NA,0.00153500684010332,NA,-0.712628896556795,0.172931725765182,NA,NA,NA,5,-39900.5013525413,79811.0057059829,7399.95715043021,0
"1729",7.22297569760091,NA,NA,NA,NA,NA,NA,0.000102179165442296,0.00143037675469934,NA,-0.71325064558619,0.172887065774316,NA,NA,NA,6,-39900.3638764194,79812.7319543092,7401.68339875652,0
